Data for Google Motion Chart. ,,,,,,,,,,
< Return to Front Sheet,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Borough,Year,Inner or Outer London,% 16-24 with NVQ1 or lower,% achieving 5 A*-C GCSE's inc. English & Maths  (maintained schools),% pupils attending independent schools (school location),% of 16-64 in emp in managerial/professional/technical occs,% aged 18-24 in full time education,% 16-24 with NVQ3+,% pupils achieving 5 A*-C GCSE's (maintained schools),% 19 year olds achieving level 3 qualifications (maintained schools)
Waltham Forest,2006,Outer,33.1,42.1,4.7,44.3,22.4,27.3,55,46.4
Waltham Forest,2007,Outer,29.2,44.2,4.7,42.5,26.8,37.4,59.5,47.9
Waltham Forest,2008,Outer,36.4,46,4.7,40.2,28.8,41,62.6,48.2
Waltham Forest,2009,Outer,33.2,50.9,4.7,40.1,35.1,43,66.6,52.7
Waltham Forest,2010,Outer,33.6,53.7,4.6,48,35.1,42,76.7,53.7
Wandsworth,2005,Inner,21.6,41.8,22,62.4,35.8,50.3,58.3,46.4
Wandsworth,2006,Inner,17.1,46.9,21.9,68.4,34.8,67.8,61.2,48.4
Wandsworth,2007,Inner,16.8,50.1,22.2,72.2,33.4,66.1,66.2,51.4
Wandsworth,2008,Inner,15.2,52.1,23.1,70.2,28.8,64.6,71.3,54.1
Wandsworth,2009,Inner,12.8,58.1,23.8,64.2,35.1,50.6,79.7,57.7
Wandsworth,2010,Inner,20.2,60.5,23.6,70.5,19.9,53.4,83.1,56.7
Westminster,2005,Inner,17,40.6,27.3,67.7,42.2,46.9,48.7,50.1
Westminster,2006,Inner,25,46,27.3,63.5,47,54.9,55.1,49.3
Westminster,2007,Inner,13.3,49.7,27.5,66.8,54.5,60.4,66.3,54
Westminster,2008,Inner,18.2,52.8,28.1,71.7,54.2,57.8,78.5,55.8
Westminster,2009,Inner,20.1,62.5,27.5,71.3,42.6,62.2,83.9,59.1
Westminster,2010,Inner,17.2,62.3,27.1,71.1,51,52.1,85.5,57.6
,,,,,,,,,,
,Source:,,Annual Population Survey,Department for Education,Department for Education,Annual Population Survey,Annual Population Survey,Annual Population Survey,Department for Education,Department for Education
