,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
UKI74,Harrow and Hillingdon,23691,24832,26101,26350,27045,28573,29223,29994,30913,31951,31561,28616,28483,28620,29398,30993,34322,33722,33623,35323
UKI75,Hounslow and Richmond upon Thames,22411,23870,25331,25850,26669,27573,27936,28933,30990,32539,33419,30877,30615,31397,33916,35797,38038,40800,43113,44466
UKJ11,Berkshire,24891,27033,28176,28521,30365,32076,32451,34444,35630,36608,37056,35795,35877,37116,37895,39011,39914,40846,41144,41727
UKJ12,Milton Keynes,22478,23201,24471,25737,27220,29773,30062,29739,31346,33680,35827,34021,35197,36514,36655,37784,41023,43841,47384,49516
UKJ13,Buckinghamshire CC,18911,19026,20443,20583,20901,21749,22829,23033,23548,24452,25860,25364,25476,25846,27056,27724,28517,29429,29880,30131
UKJ14,Oxfordshire,18149,18986,20044,20683,21997,23126,23233,23896,24647,25480,26842,26568,27116,27745,28599,29700,31161,32640,33337,34016
UKJ21,Brighton and Hove,13835,13961,14832,16057,17519,18202,18568,19704,20234,21407,22174,21348,21229,21437,22983,24356,25528,26066,26870,27539
UKJ22,East Sussex CC,11660,11741,12330,12775,13357,13641,14156,14670,15524,15560,16711,15962,16074,16235,16371,16628,17264,18517,18882,19348
UKJ25,West Surrey,20207,21971,22998,23278,24054,25065,24920,25720,27500,28487,29854,28842,29380,29585,31008,32223,33197,34569,34761,35685
UKJ26,East Surrey,19293,20659,21694,22043,23012,24137,24916,26529,28156,29836,30217,28865,28535,28833,29958,31476,31583,31293,30975,31105
UKJ27,West Sussex (South West),14731,14985,15566,16326,16943,17463,17994,18562,19732,19785,20428,19944,20882,20669,21006,21237,21071,21890,22208,22793
UKJ28,West Sussex (North East),17924,18454,19071,19704,20653,21122,21345,21899,23475,23800,25312,24798,25110,24610,25594,26534,28228,29538,30153,30834
UKJ31,Portsmouth,17184,17079,18045,19494,20642,20517,21341,21467,22034,23393,23964,23919,25059,23706,24555,25385,26107,25529,25979,26689
UKJ32,Southampton,17118,16332,16370,17050,18290,19430,20498,21554,21526,23188,22886,22233,21790,22024,22279,23603,25058,26116,26039,27502
UKJ34,Isle of Wight,10605,10900,12269,12588,12857,13228,13259,14129,14976,15035,16359,15669,15928,16357,16733,17309,18602,19306,19512,20136
UKJ35,South Hampshire,14033,14202,14869,15416,16460,16850,17835,18667,19253,20084,20463,20137,20636,21223,22030,22514,22954,23457,22961,23693
UKJ36,Central Hampshire,16295,16508,17372,18115,19129,19535,20677,21559,22337,23483,24519,24407,25386,26169,26909,27204,27556,28279,28375,29053
